ID,Active users,Sessions,Engaged sessions,Average engagement time per session,Engaged sessions per active user,Events per session,Engagement rate,Event count,Key events,Session key event rate,Income
RFTAT,3,7,2,64.57142857,0.666666667,5.285714286,0.285714286,37,7,1,0
011ZM,3,5,3,48.2,1,7.4,0.6,37,5,1,0
W6VL5,3,11,2,10.90909091,0.666666667,3.363636364,0.181818182,37,11,1,0
4OUCX,3,6,3,112.6666667,1,6.166666667,0.5,37,7,1,0
MIYE2,3,3,3,39.66666667,1,12.33333333,1,37,3,1,0
8BWW8,3,3,3,52,1,12.33333333,1,37,3,1,0
72XHD,3,4,3,139,1,9.25,0.75,37,4,1,0
WERVD,3,4,2,15.75,0.666666667,9.25,0.5,37,4,1,0
D68US,3,3,2,43.33333333,0.666666667,12.33333333,0.666666667,37,3,1,0
A3DAV,3,7,3,28.14285714,1,5.285714286,0.428571429,37,7,1,0
10UG6,3,3,2,138.3333333,0.666666667,12,0.666666667,36,4,1,0
XRZF9,3,5,3,103.8,1,7.2,0.6,36,6,1,0
UG3F4,3,6,4,30.5,1.333333333,6,0.666666667,36,6,1,0
3PO5R,3,4,2,75.5,0.666666667,8.75,0.5,35,4,1,0
DIBU1,3,4,4,174.25,1.333333333,8.75,1,35,7,1,0
E0P6U,3,3,2,153.3333333,0.666666667,11.66666667,0.666666667,35,3,1,0
9VJBJ,3,4,3,413.25,1,8.75,0.75,35,6,1,0
D7PNW,3,3,2,80.33333333,0.666666667,11.66666667,0.666666667,35,3,1,0
HFTSR,3,7,4,12.42857143,1.333333333,5,0.571428571,35,7,1,0
4R4CM,3,7,3,44.57142857,1,5,0.428571429,35,9,1,0
KMVGP,3,4,4,468.5,1.333333333,8.75,1,35,4,1,0
QC8H7,3,5,5,34.6,1.666666667,7,1,35,5,1,0
YYJP3,3,3,2,149.6666667,0.666666667,11.33333333,0.666666667,34,3,1,0
ITF7B,3,3,3,226.6666667,1,11.33333333,1,34,3,1,0
F9X1V,3,3,3,70.66666667,1,11.33333333,1,34,5,1,0
HO8HQ,3,3,3,133.3333333,1,11.33333333,1,34,3,1,0
B9V73,3,3,2,244,0.666666667,11,0.666666667,33,4,1,0
JI0T9,3,4,2,105.75,0.666666667,8.25,0.5,33,5,1,0
C9RY8,3,6,3,64.5,1,5.5,0.5,33,6,1,0
DCBPP,3,4,2,93.75,0.666666667,8,0.5,32,9,1,0
IF9RB,3,4,3,104.25,1,8,0.75,32,4,1,0
QEDFM,3,6,2,24.33333333,0.666666667,5.333333333,0.333333333,32,6,1,0
043UV,3,6,2,53.66666667,0.666666667,5.333333333,0.333333333,32,6,1,0
B181S,3,3,1,107.3333333,0.333333333,10.66666667,0.333333333,32,3,1,0
DMW57,3,3,1,52,0.333333333,10.66666667,0.333333333,32,3,1,0
VRM4H,3,8,2,0.25,0.666666667,3.875,0.25,31,8,1,0
2P6RF,3,6,3,0.166666667,1,5.166666667,0.5,31,6,1,0
MHWHS,3,5,3,17.8,1,6.2,0.6,31,5,1,0
5ENU0,3,6,2,25.16666667,0.666666667,5.166666667,0.333333333,31,6,1,0
XRP2C,3,4,4,49.75,1.333333333,7.5,1,30,7,1,0
9NQKJ,3,3,2,283.3333333,0.666666667,10,0.666666667,30,3,1,0
CNC2P,3,3,3,36.33333333,1,10,1,30,9,1,0
GMR6N,3,9,3,0,1,3.333333333,0.333333333,30,11,1,0
OECI9,3,5,2,35.6,0.666666667,6,0.4,30,5,1,0
QU0OP,3,4,1,86.5,0.333333333,7.5,0.25,30,4,1,0
